client_id,path,sentence_id,sentence,sentence_domain,up_votes,down_votes,age,gender,accents,variant,locale,segment,prediction,individual_wer
06f756dbbdc3a121d9127628f62c1c9133aac199258d87e3bf4c2ea6fafe01a47da5a0fa92d7f5d8e45ae5f89bf198c22a0384dbbefe27befc2b6d67a206b72f,common_voice_az_30644804.mp3,0160886cb15cd41fed5aa924538542d8a5c9518affee51d3c59f4df0ab5c5987,Eşq şeirlərindən əlavə din və təsəvvüf ilə bağlı şeirləri də vardır.,,2,1,,,,,az,,"eşk şərlərin dən, aləvə din vətə, sə vəf ilə bağlı şəyirəri də var dür.",0.9090909090909091
17f0ad82074ee502d2cd68f2147657e36e29d52cc14b294228ae6f261fba911807c0bc12da27fbaf006eac2582bd16d0acbc497041acb5434177ec5a7c308c9d,common_voice_az_34229675.mp3,00965796619aee8cd4892c6ace18660bce0f951a925404b0ddf59040d434e947,Orta məktəbi bitirdikdən sonra Ukraynanın Lvov şəhərində hərbi xidmətdə olmuşdur.,,2,0,,,,,az,,orta məkterdi bir dirdikten sonra ukranalını bu şərində şərində şərində şərində şərində şərində şərində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində şədində ş,9.1
5b64658a939575c17925eada88fe9af2b1b94eee77d89ee0d1881635e5d28a67629a43f1dc1a024e9d6f71de04d96c4a8d25b319335a21148e4de0f7e5605efe,common_voice_az_43516603.mp3,02c607f457ce2bc435124abab37c093d4988057af4c89ae35ed05edd69ebd9bc,Hal hazırda Xəzər kanalında prodüser olaraq işinə davam edir.,,2,0,,,,,az,,halk ağzırda həzə kəkkanalında pradüsür olaraq ışnə davam eder.,0.7777777777777778
800821b956e085608292723543adb108d034f7651651b06bed11545d30360cecbe4b4b9a3ece1b524bceb271eefb555820b4a1bff0a2419a8be41cb00bc0c957,common_voice_az_42550087.mp3,03569929a1d2b647a54be0f4854dc5c0f018b09c7b4c28d21900b5135daf6ad6,Təpə Antarktidada yerləşən Start burnunun adını daşıyır.,,2,0,thirties,,,,az,,təpə antarq ki də də yerlə şəndsə də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də də,31.142857142857142
a30533571b74f87aaa4b0d5d356917899ed61d0f75247d78b793b6609c0636b715d4523d101d2c5568ef7cdbe5b4c4fabb7e3a685987c20be6fbae14951323b8,common_voice_az_32296128.mp3,0049e3b55ed7c096ac04868031a6b80962b7bd383f928cead8927b21a01388fc,Lənkəran şəhərində dəfn olunub.,,2,0,,,,,az,,ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf. ləyin kanunşu herlətəf.,15.0
c97316f2870b649ca853e4cff402670819688635dc1b278ebf8c70105e1b46b567149ca4d9d46cc64452f77783e00c41e8e6f4694663104ee4974cab7ece5f59,common_voice_az_43107780.mp3,00aaaec628975438f9e0e898d923b7f41514e1fe192fe484f362f5296fd794f6,Onların qalıqlarına Çin və Özbəkistan ərazilərində aşkarlanmışdır.,,2,0,,,,,az,,o man qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qələ qə,16.142857142857142
d21d6d86909cd6fdfde5cfcafc87387352c0912ff80b6d4100991abc56efc1b9867c9ba75061d5c8f7bbb538a900a5459b9daf967e382364d07f2f7d7691ffde,common_voice_az_41030974.mp3,02db63d745ec09971708e1c5f2a6a5ec257ea7bec8eab7371cf5942e236ea4db,Ətrafdakı ərazilərlə müqayisədə dumanlı və qar örtüyü olan günlərin sayı daha çoxdur.,,2,0,,,,,az,,etrafta ki təməzi gəllə mügayı sətətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl mügayı sətəməl,6.833333333333333
facb8ad2110b8c164cdbef617ed1ab96e2fe8861c1f02bc4e6fb606caf7bf91964fe912853185730bc5acb10568b7e73aa6b0c74c7e0f2d70e3a111d71ab0f0a,common_voice_az_41232414.mp3,0316b0aa9ed162b106d1714a5f5d51695f0f2e1af8dbb386708e4bfcffcf5759,Yeni Azərbaycan Partiyasının fəal üzvüdür.,,2,1,,,,,az,,yənəzə bəzəm pəxəsələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzələzə,1.0
07a851ed6d3225a0d28796bf2583a4c3561bd9ec0a28d68a12736ca3f4f57e567ec6e652fcd4a50a355b7716f0a12b1da2201d3dd75b1ceb57083912e5c50636,common_voice_az_28841680.mp3,00f9ce09d2a5418a98493b93c068ccff1048eadf812df44904a68e9180236030,Qədim alban tarixinin izləri bu ərazidə bir çox yerlərdə var.,,2,0,fourties,male_masculine,,,az,,ləyələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkələkə,1.0
07a851ed6d3225a0d28796bf2583a4c3561bd9ec0a28d68a12736ca3f4f57e567ec6e652fcd4a50a355b7716f0a12b1da2201d3dd75b1ceb57083912e5c50636,common_voice_az_28841731.mp3,0178f176a762d9990ad558acc81a178b2a9a12220595b003e121baa967f620e5,Kəndin yerində müasir qəsəbənin inşası planlaşdırılırdı.,,2,1,fourties,male_masculine,,,az,,kəndin yerindən oğasıdır kəsəbənin nişasıplən ləştirilirdir.,0.8333333333333334
